Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1,100,6960,Twnhs,5,5,2,0,6,1967,859,2,GasA,Y,1616,0,2007,166818.543697272
2,59,12168,1Fam,4,5,1,0,8,1918,927,4,GasA,Y,1479,0,2008,130445.281625183
3,57,9020,1Fam,6,5,1,0,8,1964,999,3,GasA,Y,1644,0,2010,125335.886602796
4,,9480,1Fam,7,6,1,0,7,2004,900,2,GasA,Y,2236,0,2008,275191.601514645
5,80,5520,1Fam,5,5,1,0,10,2004,520,3,GasA,Y,1548,0,2007,160719.863428297
6,75,7677,TwnhsE,5,5,1,0,8,2007,888,2,GasA,Y,2000,0,2008,189601.084487071
7,64,7259,1Fam,5,5,1,0,5,1954,1122,3,GasA,Y,2822,0,2008,223937.82709847
8,21,8820,TwnhsE,5,5,2,1,6,1970,1128,3,GasA,Y,1126,0,2006,116698.739932548
9,52,9600,1Fam,5,5,2,0,8,1980,1498,2,GasA,Y,773,0,2006,159890.335262964
10,,8450,1Fam,7,5,2,1,10,1998,1705,3,GasA,Y,1224,0,2007,176313.885725742
11,63,8012,1Fam,4,5,1,0,10,1956,912,2,GasA,Y,2358,0,2008,149224.437021088
12,21,8393,1Fam,10,8,1,0,6,1955,1100,2,GasA,Y,1086,0,2008,196256.217028981
13,80,7449,1Fam,6,8,1,1,4,1948,999,2,GasA,Y,1728,0,2009,166237.077294361
14,60,7200,1Fam,5,6,2,0,6,1996,648,3,GasA,Y,1458,0,2007,163472.23913729
15,59,8320,1Fam,7,6,2,0,6,2009,864,2,GasA,Y,1394,0,2006,200841.804879554
16,75,4500,1Fam,7,7,2,1,7,1927,1907,2,GasA,N,2240,0,2008,182497.814260905
17,65,6120,1Fam,7,5,2,0,9,2003,955,2,GasA,Y,1344,0,2008,179123.359747918
18,70,11700,1Fam,5,5,2,1,6,2007,916,3,GasA,N,1285,0,2008,189507.052452581
19,60,10859,1Fam,6,5,2,0,9,1960,1375,3,GasA,Y,1576,0,2009,151211.890496831
20,80,13400,1Fam,5,5,1,0,4,1956,1040,4,GasA,Y,1456,0,2007,164702.94876998
21,50,7800,1Fam,9,7,1,0,7,2004,1842,3,GasA,Y,1304,0,2007,308758.595668946
22,79,14191,1Fam,7,6,2,0,8,1977,1157,3,GasA,Y,2132,0,2009,207950.563779799
23,78,11999,1Fam,7,5,2,0,6,1929,1800,3,GasA,Y,841,0,2006,166946.178783847
24,,8176,Duplex,5,6,2,0,6,1975,1734,3,GasA,Y,2380,0,2009,197710.598686001
25,70,9000,1Fam,7,6,2,1,8,2003,840,3,GasA,Y,1566,0,2008,189836.325256474
26,64,11049,1Fam,5,6,1,0,5,1958,1144,1,GasA,Y,2263,0,2008,177011.668314606
27,100,8248,1Fam,8,5,1,0,6,1963,864,3,GasA,Y,1661,0,2009,182849.73383542
28,60,5100,1Fam,7,8,2,0,4,1995,683,3,GasA,N,605,0,2010,145250.78991792
29,61,8450,1Fam,7,8,1,1,6,1949,560,3,GasA,Y,1241,0,2006,167617.089335845
30,34,10918,1Fam,6,5,2,0,7,1965,696,4,GasA,Y,1593,0,2010,164270.552160036
31,76,8521,1Fam,7,8,1,1,5,1994,882,2,GasA,Y,2207,0,2009,240051.362170804
32,,1680,1Fam,6,5,1,0,6,1925,1494,3,GasA,Y,1370,0,2008,160306.42004854
33,81,20896,1Fam,5,8,1,1,9,1993,951,2,GasA,Y,816,0,2006,166010.733039612
34,60,10380,Duplex,8,8,2,0,5,1940,1709,2,GasA,Y,1801,0,2007,266359.250463532
35,85,8978,1Fam,7,6,1,0,8,1998,1008,3,GasA,Y,2153,0,2008,243282.03707932
36,80,10791,1Fam,6,5,2,0,5,1959,1090,3,GasA,Y,1561,0,2008,118090.300382886
37,44,9018,1Fam,5,5,2,0,6,2006,2444,3,GasA,Y,1776,0,2010,189313.072110593
38,67,10000,1Fam,5,6,1,0,6,1993,1232,2,GasA,Y,848,0,2007,125660.408297217
39,86,10335,1Fam,7,5,1,0,6,1910,864,3,GasA,Y,2113,0,2006,125427.484801065
40,80,10690,1Fam,5,5,1,1,7,1977,1728,3,GasA,Y,899,0,2006,211070.037348784
41,67,8532,1Fam,3,5,2,0,6,1957,796,3,Grav,Y,3222,0,2008,189790.931558927
42,,9600,1Fam,5,5,2,0,4,1990,1052,3,GasA,N,1152,0,2008,132515.574254431
43,51,12376,Duplex,7,7,1,1,7,1936,876,3,GasA,Y,1661,0,2008,200542.714258492
44,70,6780,1Fam,9,5,2,0,6,2005,1264,3,GasA,Y,1718,0,2009,275587.784261739
45,75,4400,1Fam,4,5,1,1,5,1954,768,3,GasA,N,2614,0,2008,157280.104252017
46,71,13673,1Fam,8,8,2,0,6,1967,793,2,GasA,N,816,0,2008,171995.608368957
47,70,10400,1Fam,6,5,1,1,8,1956,729,3,GasA,Y,1291,0,2008,100795.475393345
48,78,2280,1Fam,7,6,2,0,6,2008,795,3,GasA,Y,1895,0,2010,202177.037926883
49,102,11287,1Fam,6,5,3,0,6,1996,876,1,GasA,Y,2229,0,2008,214395.463507981
50,60,9000,1Fam,5,5,2,1,6,2006,1484,2,GasA,Y,1720,0,2010,183970.222776868
51,80,12640,1Fam,5,5,2,1,8,1998,1056,4,GasA,Y,2020,0,2007,186855.889774909
52,70,6120,1Fam,6,7,1,0,8,1914,697,3,GasA,Y,784,0,2009,123876.327919382
53,,31770,1Fam,6,5,2,0,2,2007,684,2,GasA,Y,1453,0,2010,215853.904584484
54,65,10142,1Fam,7,7,1,0,8,1920,996,4,GasA,Y,864,0,2009,108337.686856011
55,,46589,1Fam,6,7,1,0,11,1920,1516,2,GasA,Y,1728,0,2006,210166.244522155
56,,8816,1Fam,6,6,1,1,5,2004,728,3,GasA,Y,1328,0,2007,167007.245778455
57,60,13501,1Fam,8,5,2,1,5,2008,1559,4,GasA,Y,1668,0,2009,294304.673328099
58,71,14762,1Fam,6,5,1,1,6,1960,1316,2,GasA,Y,987,0,2009,131119.042746207
59,,13284,1Fam,5,5,2,1,4,1992,1090,2,GasA,Y,1442,0,2008,144970.708452053
60,72,7390,1Fam,5,6,1,0,4,1957,784,3,GasA,Y,1842,0,2009,127903.336657251
61,50,8400,1Fam,7,5,1,0,6,1960,894,3,GasA,Y,4676,0,2009,225844.370600444
62,,9135,Twnhs,8,5,1,1,4,1958,744,2,GasA,Y,2000,0,2008,253950.962992062
63,,8125,1Fam,5,6,2,0,5,1910,1032,3,GasA,Y,1340,0,2008,143330.767129807
64,60,9830,1Fam,7,5,3,0,6,2002,1367,5,GasA,Y,864,0,2009,180047.732399879
65,,8480,1Fam,5,5,2,0,5,1900,1242,3,GasA,Y,1640,0,2009,109503.982295035
66,60,10140,1Fam,6,5,2,1,6,2001,880,3,GasA,Y,1099,0,2009,180568.557383423
67,,7875,1Fam,5,5,2,1,6,2007,2006,4,GasA,Y,2320,0,2006,196089.959743314
68,87,16659,1Fam,6,7,1,0,8,1999,720,3,GasA,Y,1720,0,2006,204282.050405273
69,48,11287,1Fam,8,7,2,0,5,2009,600,3,GasA,Y,1577,0,2006,236681.790788979
70,128,8880,1Fam,8,5,1,1,7,1900,954,3,GasA,Y,1362,0,2009,175541.781733548
71,52,11310,TwnhsE,6,8,1,0,6,2004,860,3,GasA,Y,848,0,2009,131842.316952081
72,80,8520,1Fam,5,5,2,0,6,2005,1291,2,GasA,Y,1430,0,2007,173006.271106291
73,60,13688,1Fam,9,5,2,1,6,1975,1080,4,GasA,Y,1235,0,2006,225722.475647638
74,80,7200,1Fam,8,5,2,0,9,1961,1362,2,GasA,Y,1065,0,2008,199739.623367792
75,80,10386,TwnhsE,8,6,1,1,5,1939,585,2,GasA,Y,1306,0,2006,147741.241155597
76,90,11999,Twnhs,5,7,2,0,6,2007,1121,3,GasA,Y,1560,0,2008,170451.054752357
77,116,14157,1Fam,9,5,1,1,6,1957,894,3,GasA,Y,1328,0,2009,208798.677419719
78,60,9084,1Fam,5,6,1,0,7,2007,1032,4,GasA,Y,1440,0,2008,165849.488776525
79,82,10800,1Fam,7,5,2,1,6,1914,866,3,GasA,N,935,0,2009,89026.0735070412
80,59,9248,1Fam,5,6,1,1,7,1910,1004,3,GasA,Y,1429,0,2007,121066.679789601
81,52,21750,1Fam,7,5,3,0,7,2005,1478,2,GasA,Y,1067,0,2009,211531.872405742
82,78,3500,1Fam,6,7,2,1,6,1954,955,2,GasA,Y,1800,0,2010,190346.971987389
83,70,9100,1Fam,5,5,2,0,7,1960,1092,2,GasA,Y,2365,0,2007,144503.916077179
84,68,9765,1Fam,7,5,2,0,5,1984,1244,3,GasA,Y,1040,0,2008,174293.829066038
85,,7945,1Fam,5,6,1,0,8,1959,1002,2,GasA,Y,1376,0,2006,171402.432437311
86,79,8012,1Fam,6,5,1,0,6,2008,1417,3,GasA,Y,1764,0,2006,229485.598238575
87,50,6000,1Fam,8,7,2,0,10,1900,1580,1,GasA,Y,1812,0,2010,227329.465543756
88,60,3010,1Fam,8,3,2,0,5,2007,1020,3,GasA,Y,1004,0,2008,233812.923758972
89,70,10395,1Fam,5,6,2,1,5,2000,1002,2,GasA,Y,1208,0,2008,192972.308285636
90,90,3000,1Fam,3,5,1,0,9,1954,1656,3,GasA,Y,1314,0,2009,136839.0845407
91,32,10200,1Fam,4,7,2,1,7,1959,641,3,GasA,N,1629,0,2010,113714.356401759
92,60,9742,1Fam,5,5,1,1,8,1976,1117,4,GasA,Y,1386,0,2006,165906.763018229
